yearID,franchID,name,G,SO
1903,PIT,Pittsburgh Pirates,141,400.0
1903,BAL,St. Louis Browns,139,541.0
1903,STL,St. Louis Cardinals,139,522.0
1903,MIN,Washington Senators,140,466.0
1904,BOS,Boston Americans,157,573.0
1904,LAD,Brooklyn Superbas,154,688.0
1904,ATL,Boston Beaneaters,155,550.0
1904,CHW,Chicago White Sox,156,586.0
1904,CHC,Chicago Cubs,156,470.0
1904,CIN,Cincinnati Reds,157,549.0
1904,CLE,Cleveland Naps,154,717.0
1904,DET,Detroit Tigers,162,633.0
1904,SFG,New York Giants,157,459.0
1904,NYY,New York Highlanders,155,552.0
1904,OAK,Philadelphia Athletics,155,600.0
1904,PHI,Philadelphia Phillies,155,528.0
1904,PIT,Pittsburgh Pirates,156,516.0
1904,BAL,St. Louis Browns,156,608.0
1904,STL,St. Louis Cardinals,154,514.0
1904,MIN,Washington Senators,157,756.0
1905,BOS,Boston Americans,153,553.0
1905,LAD,Brooklyn Superbas,155,606.0
1905,ATL,Boston Beaneaters,156,561.0
1905,CHW,Chicago White Sox,158,613.0
1905,CHC,Chicago Cubs,155,511.0
1905,CIN,Cincinnati Reds,155,498.0
1905,CLE,Cleveland Naps,155,714.0
1905,DET,Detroit Tigers,154,581.0
1905,SFG,New York Giants,155,497.0
1905,NYY,New York Highlanders,152,534.0
1905,OAK,Philadelphia Athletics,152,641.0
1905,PHI,Philadelphia Phillies,155,614.0
1905,PIT,Pittsburgh Pirates,155,512.0
1905,BAL,St. Louis Browns,156,639.0
1905,STL,St. Louis Cardinals,154,631.0
1905,MIN,Washington Senators,154,818.0
1906,BOS,Boston Americans,155,616.0
1906,LAD,Brooklyn Superbas,153,664.0
1906,ATL,Boston Beaneaters,152,681.0
1906,CHW,Chicago White Sox,154,492.0
1906,CHC,Chicago Cubs,154,516.0
1906,CIN,Cincinnati Reds,155,532.0
1906,CLE,Cleveland Naps,157,563.0
1906,DET,Detroit Tigers,151,517.0
1906,SFG,New York Giants,152,531.0
1906,NYY,New York Highlanders,155,537.0
1906,OAK,Philadelphia Athletics,149,666.0
1906,PHI,Philadelphia Phillies,154,536.0
1906,PIT,Pittsburgh Pirates,154,385.0
1906,BAL,St. Louis Browns,154,592.0
1906,STL,St. Louis Cardinals,154,682.0
1906,MIN,Washington Senators,151,600.0
1907,BOS,Boston Americans,155,596.0
1907,LAD,Brooklyn Superbas,153,629.0
1907,ATL,Boston Doves,152,508.0
1907,CHW,Chicago White Sox,157,525.0
1907,CHC,Chicago Cubs,155,449.0
1907,CIN,Cincinnati Reds,156,535.0
1907,CLE,Cleveland Naps,158,677.0
1907,DET,Detroit Tigers,153,549.0
1907,SFG,New York Giants,155,508.0
1907,NYY,New York Highlanders,152,533.0
1907,OAK,Philadelphia Athletics,150,561.0
1907,PHI,Philadelphia Phillies,149,520.0
1907,PIT,Pittsburgh Pirates,157,456.0
1907,BAL,St. Louis Browns,155,548.0
1907,STL,St. Louis Cardinals,155,615.0
1907,MIN,Washington Senators,154,627.0
1908,BOS,Boston Red Sox,155,588.0
1908,LAD,Brooklyn Superbas,154,608.0
1908,ATL,Boston Doves,156,489.0
1908,CHW,Chicago White Sox,156,577.0
1908,CHC,Chicago Cubs,158,520.0
1908,CIN,Cincinnati Reds,155,555.0
1908,CLE,Cleveland Naps,157,715.0
1908,DET,Detroit Tigers,154,558.0
1908,SFG,New York Giants,157,378.0
1908,NYY,New York Highlanders,155,639.0
1908,OAK,Philadelphia Athletics,157,595.0
1908,PHI,Philadelphia Phillies,155,528.0
1908,PIT,Pittsburgh Pirates,155,457.0
1908,BAL,St. Louis Browns,155,651.0
1908,STL,St. Louis Cardinals,154,623.0
1908,MIN,Washington Senators,155,597.0
1909,BOS,Boston Red Sox,152,592.0
1909,LAD,Brooklyn Superbas,155,644.0
1909,ATL,Boston Doves,155,551.0
1909,CHW,Chicago White Sox,159,596.0
1909,CHC,Chicago Cubs,155,553.0
1909,CIN,Cincinnati Reds,157,583.0
1909,CLE,Cleveland Naps,155,698.0
1909,DET,Detroit Tigers,158,623.0
1909,SFG,New York Giants,158,487.0
1909,NYY,New York Highlanders,153,598.0
1909,OAK,Philadelphia Athletics,153,578.0
1909,PHI,Philadelphia Phillies,154,490.0
1909,PIT,Pittsburgh Pirates,154,511.0
1909,BAL,St. Louis Browns,154,607.0
1909,STL,St. Louis Cardinals,154,648.0
1909,MIN,Washington Senators,156,618.0
